PRODUCT LIST,,,,,,,
,,,,,,,
,WHEY PROTIEN SECTION,NET WEIGHT,FLAVOURES,PRICE,MRP,discount,WebUpdate
,ON Serious Mass Weight Gainer,1KG,DUTCH CHOCOLATE / VANILA,"?1,090.00","?1,239.00",12%,
5,ON Serious Mass Weight Gainer,3KG,DUTCH CHOCOLATE / VANILA,"?2,973.00","?3,379.00",12%,
,,,,,,,
6,Dr. Morepen  Mass Gainer,3KG,BUTTER SCOTCH / CHOCOLATE,"?2,599.00","?3,558.00",27%,
,,,,,,,
7,Absolute Nutrition Mass Gainer,1KG ,CHOCOLATE / VANILA,?949.00,"?1,319.00",28%,
,Absolute Nutrition Mass Gainer,3KG,CHOCOLATE / VANILA,"?2,599.00","?3,899.00",33%,
,,,,,,,
,AVVATAR Muscle Gainer,2KG,CHOCOLATE,"?3,099.00","?3,559.00",13%,
8,AVVATAR Mass Gainer,2KG,BELGIAN CHOCOLATE,"?2,099.00","?2,309.00",9%,
MULTIVITAMIN,,,,,,,
1,MuscleBlaze MB-VITE Daily Multivitamin,60N,UNFLAVOURED,?499.00,?629.00,21%,
2,MuscleBlaze MB-VITE Daily Multivitamin,90N,UNFLAVOURED,?699.00,?999.00,30%,
2,MuscleBlaze Biozyme 5 in 1 Multivitamin,90N,UNFLAVOURED,?899.00,"?1,159.00",22%,
3,GNC MEGA MEN One Daily Multivitamin,30N,UNFLAVOURED,?399.00,?579.00,31%,
,GNC MEGA MEN One Daily Multivitamin,60N,UNFLAVOURED,?549.00,?979.00,44%,
4,MUSCLETECH PLATINUM MULTIVITAMIN,60N,UNFLAVOURED,?699.00,"?1,419.00",51%,
5,ON Multivitamin for MEN,60N,UNFLAVOURED,?605.00,?839.00,28%,
6,BIGMUSCLE True Vitamin Multivitamin,60N,UNFLAVOURED,?299.00,?499.00,40%,
FISHOIL,,,,,,,
1,MuscleBlaze Omega 3 Fish Oil,60N,UNFLAVOURED,?450.00,?679.00,34%,
,MuscleBlaze Omega 3 Fish Oil,90N,UNFLAVOURED,?549.00,?949.00,42%,
2,MuscleBlaze Omega 3 Fish Oil Gold 3x Triple Strength,60N,UNFLAVOURED,?799.00,"?1,209.00",34%,
